Created Variable Name  original position relates to https://mushroomobserver.org/species_lists/1417?q=1mg6c,Original position,Part,Comments,Data ,Reference,,,
pileus_shape_form,1,3,Lookup table,"Convex, Hemispherical, Spherical, Ovoid, Conical, Cylindric, Flat, Depressed, Funnel-Shaped, Companulate, Cuspidate, Umbonate, Papillate, Umbilicate, Uplifted, Parabolic, Pulvinate, Plane, Infundibuliform, Other",,,,
pileus_height_mm,2,3,,,,,,
pileus_width_mm,3,3,,,,,,
pileus_tissue_thickness_mm,4,3,,,,,,
pileus_color_spectrum,5,3,,,,,,
pilei_surface_wetness,6,3,Lookup table,"Dry, Moist, Glutinous, Gelatinous, Viscid, Subviscid, Other",,,,
pileus_hygrophanous_or_non,7,3,,,,,,
pileus_striate_or_not,8,3,,,,,,
pileus_center,9,3,Lookup table,"Indented, Nearly perforated, Perforated",,,,
pileus_central_disc_colored,10,3,Lookup table,"darker, lighter",,,,
pileus_pellicle_gelatinous_separable,11,3,,,,,,
pilei_surface_shininess_or_non,12,3,,,,,,
pileus_surface_texture,13,3,Lookup table,"Glabrous smooth, non-glabrous Downy-Wooly, non-glabrous Matted-Fibrillose, non-glabrous Furfuraceous, non-glabrous Granulose, non-glabrous Pruinose, non-glabrous Squamose, non-glabrous Squamulose, non-glabrous Scaly, non-glabrous Hairy, Shaggy, Bristled/Bristly, Strigose, Warted, Appressed, Appressed-Fibrillose, Tomentose, Virgate, Scrobiculate, Alveolate, Lacunose, Lacinate, Areolate, Atomate, Micaceous, Superficial, Innate, Venose, non-glabrous Other",,,,
pileus_margin_form,14,3,Lookup table,,https://mushroomobserver.org/species_list/show_species_list/1770?q=1l6a2,,,
pileus_margin_smooth_cleft_in_turn,15,3,,,,,,
pileus_veil_flocks_adhere_pileus_margin,16,3,,,,,,
pilei_striations_length_mm,17,3,,,,,,
pilei_striations_width_mm,18,3,,,,,,
pilei_striations_depth_mm,19,3,,,,,,
pilei_striations_frequency,20,3,,,,,,
pilei_striations_countenance,21,3,,,,,,
pileus_cuticle_removes_easily,22,3,,,,,,
pileus_radial_furrows_present,23,3,,,,,,
pileus_stem_clean_separation,24,3,,,,,,
pileus_spore_deposits_resting_on_pileus_surface_color,25,3,,,,,,
pileus_response_knife_streak,26,3,,,,,,
pilei_zonate_pattern,27,3,,,,,,
pileus_rolled_up_presence_reveals_gills_curled_up,28,3,,,,,,
gill_color,29,4,,,,,,
gill_color_change_sterile_to_young,30,4,,,,,,
gill_color_change_to_mature_lamellae,31,4,,,,,,
gill_distance_spacing,32,4,Lookup table,"Close, Crowded, Distant, Sub-Distant, other",,,,
gill_thickness,33,4,Lookup table,"Average, Thick, Tapering, other",,,,
gill_blade_breadth,34,4,Lookup table,"Narrow, Broad, Ventricose, etc.",,,,
gill_edges_exhibit_gelantinour_pallid_thickish_thread ,35,4,,,,,,
gill_attachment,36,4,Lookup table,"Adnate, Adnexed, Sinuate, Decurrent, Collared, other",,,,
gill_spore_print_colors,37,4,,,,,,
gill_spore_print_deposit_heaviness,38,4,,,,,,
gill_permanently_sterile,39,4,,,,,,
gill_nearly_sterile,40,4,,,,,,
gill_anastomosing_present,41,4,,,,,,
gill_false_present,42,4,,,,,,
gill_lamellula_present,43,4,,,,,,
gill_position_above_view,44,4,,,,,,
gill_forking_branching,45,4,,,,,,
gill_mottled_present,46,4,,,,,,
gill_margin_nuanced_color_due_cheilocystidia,47,4,,,,,,
gill_margins_nuanced_texture_appearance,48,4,Lookup table,"Serrated, Eroded, Sinuate, Wrinkled, other",https://mushroomobserver.org/species_list/show_species_list/2051?q=1mJjU,,,
gill_wavy,49,4,,,,,,
gill_knife_cut_response,50,4,,,,,,
gill_veil_fragments_adhere,51,4,,,,,,
gill_lamellar_edge_partially_completely_pigmented_edges_not_cystidia_appearance_result,52,4,,,,,,
stipe_veil_or_cortina_present,53,5,,,,,,
stipe_annulus_or_annular_zone_present,54,5,,,,,,
stipe_annulus_scar_from_once_present_annulus,55,5,,,,,,
stipe_annulus_easily_removed_or_falls_off_stem,56,5,,,,,,
stipe_annulus_ridge_present,57,5,,,,,,
stipe_length_mm,58,5,,,,,,
stipe_width_mm,59,5,,,,,,
stipe_bulbous_base_diameter_mm,60,5,,,,,,
stipe_bulbous_base_height_mm,61,5,,,,,,
stipe_colors,62,5,,,,,,
stipe_surface_texture,63,5,Lookup table,"Smooth, Banded, Peronate, Fibrose, Lacunose, Longtidunally Striate, Ribbed [Costate], Scabrous, Pruinose [Powdery], Speckled, Punctate, Glandular-Dotted, Reticulate, Other",,,,
stipe_apex_has_striations,64,5,,,,,,
stipe_color_spectrum,65,5,,,,,,
stipe_interior,66,5,Lookup table,"centrally solid, stuffed (w/hyphae), hollow, fistulose, broadly fistulose, partially stuffed/partially hollow, chambered",,,,
stipe_vertical_fold_present,67,5,,,https://mushroomobserver.org/glossary_terms/1856 and https://mushroomobserver.org/species_list/show_species_list/2012?q=1lHmX,,,
stipe_rhizomorphs_present_at_base,68,5,,,,,,
stipe_mycelium_present_at_base,69,5,,,,,,
stipe_pseudorhiza_present,70,5,,,,,,
stipe_base_shape,71,5,,,,,,
stipe_base_color,72,5,,,,,,
stipe_base_width_mm,73,5,,,,,,
stipe_base_height_mm,74,5,,,,,,
stipe_base_attachment,75,5,,,,,,
stipe_basal_disc_present,76,5,,,,,,
stipe_radicating_or_non,77,5,,,,,,
stipe_basal_mycelium_form,78,5,,,,,,
stipe_basal_mycelium_color,79,5,,,,,,
stipe_basal_mycelium_width_mm,80,5,,,,,,
stipe_basal_mycelium_length_mm,81,5,,,,,,
stipe_basal_mycelium_density,82,5,,,,,,
stipe_basal_mycelium_substrate_attachment,83,5,,,,,,
stipe_basal_mycelium_cell_amiloidity,84,5,,,,,,
substrata_items_still_attached_to_basiodcarp_base_upon_harvesting,85,5,,,,,,
stipe_pattern_appearance_consistency,86,5,,,,,,
stipe_form,87,5,Lookup table,"flexuose, straight, extremely flexuouse, somewhat flexuouse, consistently straight, other",,,,
stipe_base_nuance_contrast,88,5,,,,,,
stipe_base_striations,89,5,,,,,,
stipe_base_striation_length_mm,90,5,,,,,,
stipe_base_striation_width_mm,91,5,,,,,,
stipe_base_striation_depth_mm,92,5,,,,,,
stipe_base_striation_frequency,93,5,,,,,,
stipe_strict_or_relaxed_longitudinal_lines,94,5,,,,,,
stipe_line_patterns,95,5,,,https://mushroomobserver.org/glossary_terms/1073,,,
stipe_volva_present_observable_attributes,96,,,,,,,
stipe_volva_height_mm,97,,,,,,,
stipe_volva_present  ,98,,,,,,,
stipe_volva_evanescence,99,,,,,,,
stipe_volva_persistence,100,,,,,,,
stipe_volva_pseudovolva_present,101,,,,,,,
stipe_volva_sack_elongated_tubular_present,102,,,,https://mushroomobserver.org/460796?q=1mlYQ,,,
stipe_volva_marginate_bulb_present,103,,,,,,,
stipe_volva_oxonium_present,104,,,,,,,
stipe_surface_tissue_peeling_up_or_down,105,,,,https://mushroomobserver.org/species_list/show_species_list/2042,,,
stipe_veil_flocks_adhere_stipe,106,,,,,,,
stipe_easily_fractures_when_bent,107,,,,,,,
stipe_surface_spore_deposit_color,108,,,,,,,
stipe_pothole_like_depression,109,,,,,,,
stipe_annulus_persistent,110,,,,,,,
stipe_surface_exhibits_cottony_hyphal_appearance,111,,,,,,,
stipe_mycelium_growing_up_base_and_up_stem,112,,,,https://mushroomobserver.org/487056?q=1mPN1,,,
stipe_tapered_upward_or_downward,113,,,,,,,
stipe_internal_necrosis_present,114,,,,,,,
stipe_annulus_height_in_relation_to_stipe,115,,,,,,,
stipe_knife_cut_response,116,,,,,,,
stipe_exhibits_noteworthy_elevated_striations,117,,,,,,,
more_macro_fruiting_body_entire_height,118,,,,,,,
more_macro_growth_stage_video,119,,,,,,,
more_macro_habitat,120,,,,,,,
more_macro_ecology,121,,,,,,,
more_macro_substrate,122,,,,,,,
more_macro_substrata,123,,Lookup Table,"On Soil, Decaying Wood, Humus, Duff, Bryophytes, Dung, Grass, Tree Cones, Tree Needles, Leaves, other",,,,
more_macro_trees_present,124,,Lookup Table,"Saprophytic, Parasitic, Endophytic, Ectomycorrhizal, Symbiotic, other",,,,
more_macro_nutrition_mode,125,,Lookup Table,,,,,
more_macro_mycorrhizal_relationships,126,,,,,,,
more_macro_plant_relationships,127,,,,,,,
more_macro_nutrition_mode_change,128,,,,,,,
more_macro_locality,129,,,,,,,
more_macro_geographic_distribution,130,,,,,,,
more_macro_latitude,131,,,,,,,
more_macro_longitude,132,,,,,,,
more_macro_fruiting_body_entire_weight,133,,,,,,,
more_macro_natural_fruiting_time_of_year,134,,,,,,,
more_macro_sclerotia_pseudosclerotia_present,135,,,,,,,
more_macro_primordia_form,136,,,,,,,
more_macro_primordia_colors,137,,,,,,,
more_macro_growth_pattern_general,138,,,,,,,
more_macro_field_chemical_reaction_test,139,,,,See dedicated section further down,,,
more_macro_aroma,140,,,,See dedicated section further down,,,
more_macro_flavor,141,,,,See dedicated section further down,,,
more_macro_universal_veil_present,142,,,,,,,
more_macro_universal_veil_remants_warts_present,143,,,,,,,
more_macro_deliquesence_present,144,,,,,,,
more_macro_lactiferous_fluid_present,145,,,,,,,
more_macro_transient_morphing_ephemeral_characters_during_growth_stages,146,,,,,,,
more_macro_stature_types,147,,,,,,,
more_macro_basidiocarps_fragile_normal_tough,148,,Lookup Table,"fragile, normal, tough",,,,
more_macro_handling_specimen_color_change,149,,Lookup Table,"none, subtle, drastic",,,,
more_macro_photographic_compare_fresh,150,,,,,,,
more_macro_photograph_compare_dried_completely_dehydrated,151,,,,,,,
more_macro_pileus_compare_color_spectrum_very_moist_rainy,152,,,,,,,
more_macro_pileus_compare_color_spectrum_non_rainy,153,,,,,,,
more_macro_stipe_compare_color_spectrum_very_moist_rainy,154,,,,,,,
more_macro_stipe_compare_color_spectrum_non_rainy,155,,,,,,,
more_macro_fluorescent_reaction_ultraviolent_light_present,156,,,,,,,
more_macro_bioluminescence,157,,,,,,,
more_macro_pilei_exhibit_darkening_burn_like_character,158,,,,,,,
more_macro_stipe_exhibit_darkening_burn_like_character,159,,,,https://mushroomobserver.org/species_list/show_species_list/2040?q=1lwxJ,,,
more_macro_time_from_primordia_to_decompose,160,,,,,,,
more_macro_elevation,161,,,,,,,
more_macro_survive_completely_aquatic_environment,162,,,,,,,
more_macro_survive_snowpack_melt_mountains,163,,,,,,,
more_macro_survive_fire_burn,164,,,,,,,
more_macro_fruiting_temperature_low,165,,,,,,,
more_macro_fruiting_temperature_high,166,,,,,,,
more_macro_fruiting_humidity_low,167,,,,,,,
more_macro_fruiting_humidity_high,168,,,,,,,
more_macro_grow_light_uv_spectrum_response,169,,,,"Also, see the following presentation and skip to 7 minutes in: https://m.youtube.com/watch?v=M9joL8spvS8#fauxfullscreen Note: Not only the first and second flushes of a fruiting species are tested, but importantly, the third and fourth flushes are compared",,,
