ID,Name,Comment,,,,,
1,Admin,,,,,,
2,Basic,,,,,,
3,Cap - Pileus,,,,,,
4,Gills - Lamellae,,,,,,
5,Stem - Stipe,,,,,,
6,Veil,,,,,,
7,Mycelium,,,,,,
8,Spores,Micro for spores is here - not micro,,,,,
9,Micro,,,,,,
10,DNA,,,,,,
11,Habitat,"Habitat, Plant Associations, Tree Associations",,,,,
12,Rhizomorph,,,,,,
13,Chemical Reaction,,,,,,
14,Color,All color characters in one place for display_option,,,,,
15,Location,"lat, lon, city, county, state, country",,,,,
16,Identification,"genus, species, iNaturalists",,,,,
17,Storage,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
